"LichenID","Biscogniauxia_mediterranea","Cladosporium_sp1","Coniochaeta_ligniaria","Coniochaetaceae_sp1","Coniochaetaceae_sp2","Daldinia_sp1","Fimetariella_sp1","Geopyxis_carbonaria","Lasiosphaeria_sp1","Nemania serpens","Nemania_serpens","Pezizomycetes_sp6","Pleosporales_sp1","Preussia_sp1","Pyronema_domesticum","Sarcosomataceae_sp1","Sordariomycetes_sp1","Sordariomycetes_sp6","Xylaria_sp1"
"G1-2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"G1-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"G2-4",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"G2-5",0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
"G2-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"G2-9",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"G3-6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"G3-8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"G3-9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"G4-10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"G4-11",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"G5-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"G5-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G5-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"G5-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"G5-4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"G5-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"G5-8",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
